"TransactionID","GeonameID","Latitude","Longitude","Geoname","UcdpPrecision","ADM1","ADM1ID","ADM2","ADM2ID"
"8723814206-10","1283154","27.58333","85.33333","Lalitpur","2","Central","2152","Bagmati","22351"
"8723814206-11","1282843","28.75","82.58333","Rukum","2","Mid Western","2155","Rapti","22360"
"8723814206-12","1283616","27.57901","86.34521","Bhandar","1","Central","2152","Janakpur","22352"
"8723814206-12","7801153","27.3303","86.06458","Ramechhap","2","Central","2152","Janakpur","22352"
"8723814206-12","7802555","27.56522","86.39673","Chaulakharka","1","Central","2152","Janakpur","22352"
"8723814206-12","7980997","27.57077","86.34884","Bamti","1","Central","2152","Janakpur","22352"
"8723814206-13","1282888","28.08333","82.83333","Pyuthan","2","Mid Western","2155","Rapti","22360"
"8723814206-13","7801118","28.08746","82.88336","PythanKhalanga","1","Mid Western","2155","Rapti","22360"
"8723814206-13","7979898","28.10681","82.85385","Bijuwar","1","Mid Western","2155","Rapti","22360"
"8723814206-14","1282991","27.66667","83.91667","Nawalparasi","2","Western","2156","Lumbini","22364"
"8723814206-14","1283282","27.58333","85.66667","Kabhre Palanchok","2","Central","2152","Bagmati","22351"
"8723814206-14","1283712","28.41667","83.16667","Baglung","2","Western","2156","Dhawalagiri","22362"
"8723814206-14","7800265","27.68874","84.05416","Deurali","1","Western","2156","Lumbini","22364"
"8723814206-14","7949045","28.14353","83.42935","Katike","1","Western","2156","Dhawalagiri","22362"
"8723814206-14","7963330","27.51396","85.81548","Gunsi Dobhang","1","Central","2152","Bagmati","22351"
"8723814206-15","1282947","27.16667","87.83333","Panchthar","2","Eastern","2153","Mechi","22355"
"8723814206-15","1283202","27.25","86.83333","Khotang","2","Eastern","2153","Sagarmatha","22356"
"8723814206-15","1283282","27.58333","85.66667","Kabhre Palanchok","2","Central","2152","Bagmati","22351"
"8723814206-15","7799170","27.4147","85.6244","Foksingtar","1","Central","2152","Bagmati","22351"
"8723814206-15","7964939","27.24233","86.71901","Maure","1","Eastern","2153","Sagarmatha","22356"
"8723814206-15","7977357","27.04934","87.75368","Sapsu","1","Eastern","2153","Mechi","22355"
"8723814206-2","7801037","27.31643","86.50508","Okhaldhunga","2","Eastern","2153","Sagarmatha","22356"
"8723814206-3","1283282","27.58333","85.66667","Kabhre Palanchok","2","Central","2152","Bagmati","22351"
"8723814206-4","1282771","26.75","86.33333","Siraha","2","Eastern","2153","Sagarmatha","22356"
"8723814206-5","1282758","27.75","86.75","Solukhumbu","2","Eastern","2153","Sagarmatha","22356"
"8723814206-5","7801153","27.3303","86.06458","Ramechhap","2","Central","2152","Janakpur","22352"
"8723814206-6","1283425","29.25","80.91667","Doti","2","Far Western","2154","Seti","22358"
"8723814206-6","7731493","29.2631","80.936","Silgadi Doti Airport","1","Far Western","2154","Seti","22358"
"8723814206-7","1282856","27","85.33333","Rautahat","2","Central","2152","Narayani","22353"
