"ProjectID","TransactionID","TransactionTitle","WrittenDescription","ProcurementCategory","TenderNoticeSource","ContractAwardID","ContractorName","ContractorCountry","ContractAmount","ContractCurrency","ContractAmountUsd","DateOfAward","StartDate","EndDate","ContractAwardSource"
"872382368","872382368-1","DRILP/JUMLA/TU/NCB/01","road rehabilitation","Civil Works","","14","Chandra & Pushpa JV","Nepal","3718013","NPR","51342","","2008-08-29","2009-07-24","DRILP - Jumla.pdf"
"872382368","872382368-10","Consultancy for SID of Jowa Khola RCC Bridges on Uarthauchautra road","Consultancy work for bridge and road construction","Consultant Services","","15","","","875600","NPR","12091","","","","DRILP - Jumla.pdf"
"872382368","872382368-11","Hurrigad Bridge Design","Consultancy work for bridge design","Consultant Services","","16","","","143200","NPR","1977","","","","DRILP - Jumla.pdf"
"872382368","872382368-12","Kulo Maintanance","Maintenance work","Civil Works","","17","","","2253400","NPR","31117","","","","DRILP - Jumla.pdf"
"872382368","872382368-14","Hand Tools","purchase of hand tools","Goods","","19","","","980600","NPR","13541","","2007-06-06","","DRILP - Jumla.pdf"
"872382368","872382368-15","Gabion Procurement","Shopping for Gabion","Goods","","20","","","5513374","NPR","76134","","","","DRILP - Jumla.pdf"
"872382368","872382368-16","Procurement for Drilling Machine","shopping for drilling machines","Goods","","21","","","1067800","NPR","14745","","2008-11-28","","DRILP - Jumla.pdf"
"872382368","872382368-17","Procurement of Hydraulic Rock Drilling Machine for Thinke-Uarthau Chatra Section","shipping for rock drilling machine","Goods","","22","","","1237360","NPR","17087","","2009-06-15","","DRILP - Jumla.pdf"
"872382368","872382368-18","Hand Tools for Dillichaur-Dhupaghat","The obtainament of Hand tools","Goods","","23","","","1331021","NPR","18380","","2009-11-03","","DRILP - Jumla.pdf"
"872382368","872382368-19","Procurement and weaving of GI wire for D-Dhupagahet section","Procurement of tools","Goods","","24","","","5946561","NPR","82116","","2009-01-23","","DRILP - Jumla.pdf"
"872382368","872382368-2","DRILP/JUMLA/TU/NCB/02","road rehabilitation","Civil Works","","25","M/S Oasus JV","Nepal","3452271","NPR","47672","","2008-11-21","2009-08-26","DRILP - Jumla.pdf"
"872382368","872382368-20","Hand Tools and HDPE pipes","purchase of hand tools","Goods","","26","","","882200","NPR","12182","","","","DRILP - Jumla.pdf"
"872382368","872382368-21","DRILP/JUMLA/KTT/NCB/01","Road Constrcution","Civil Works","","27","M/S Pacific Builders P. LTD","Nepal","10278669","NPR","141937","","2010-07-01","2011-03-31","DRILP - Jumla.pdf"
"872382368","872382368-22","DRILP/JUMLA/KTT/NCB/02","Road Constuction","Civil Works","","28","M/S Lokbir, Jagadamba JV","Nepal","20549919","NPR","283773","","2010-07-01","2011-03-31","DRILP - Jumla.pdf"
"872382368","872382368-23","DRILP/JUMLA/KTT/NCB/03","Road Construction","Civil Works","","29","Oasis,Siddhartha,Shiv Skati JV","Nepal","13141201","NPR","181466","","2010-07-01","2011-03-31","DRILP - Jumla.pdf"
"872382368","872382368-24","DRILP/JUMLA/KTT/NCB/04","Road Construction","Civil Works","","30","M/S Amar,Malla JV,Nepalgun","Nepal","9521619","NPR","131483","","","","DRILP - Jumla.pdf"
"872382368","872382368-25","DRILP/JUMLA/KTT/NCB/05","Road Construction","Civil Works","","31","Chandra & Basanta Cons. P Ltd.","Nepal","11941890","NPR","164905","","2010-07-01","2011-03-31","DRILP - Jumla.pdf"
"872382368","872382368-26","DRILP/JUMLA/KTT/NCB/06","Road Construction","Civil Works","","32","SAP, Bsndson Bsghswtsi JV","Nepal","9260725","NPR","127881","","2010-07-01","2011-03-31","DRILP - Jumla.pdf"
"872382368","872382368-27","DRILP/JUMLA/KTT/NCB/07","Road Construction","Civil Works","","33","M/S Oasis, SiddhaBaba JV","Nepal","17631006","NPR","243465","","","","DRILP - Jumla.pdf"
"872382368","872382368-28","Survey Design of Kudari Tamti, Topla Road sub-Project","Consultancy work for road construction","Consultant Services","","34","","","1389900","NPR","19193","","","","DRILP - Jumla.pdf"
"872382368","872382368-29","GI Wire Procurement to KTT/NCB/01","purchase of wire","Goods","DRILP - Jumla.pdf","","","","","","","","","",""
"872382368","872382368-3","DRILP/JUMLA/TU/NCB/03","road rehabilitation","Civil Works","","35","Siddha Lama JV","Nepal","7639512","NPR","105494","","2008-08-29","2009-11-24","DRILP - Jumla.pdf"
"872382368","872382368-30","DRILP/JUMLA/KTT/NCB/01 Supply and Delivery of heavy coated Gabion wire","delivery of wire","Goods","","36","","","13624620","NPR","188142","","","","DRILP - Jumla.pdf"
"872382368","872382368-31","Procurement of Tools","purchase of tools.","Goods","DRILP - Jumla.pdf","","","","","","","","","",""
"872382368","872382368-32","GI Wire Procurement to KTT","purchase of wire","Goods","","37","","","5013099","NPR","69226","","","","DRILP - Jumla.pdf"
"872382368","872382368-33","Gabion Wire Transportation","transporting wire","Civil Works","","38","","","3113894","NPR","43000","","","","DRILP - Jumla.pdf"
"872382368","872382368-34","Gabion Weaving Works","weaving gabion","Civil Works","","39","","","1054100","NPR","14556","","","","DRILP - Jumla.pdf"
"872382368","872382368-35","Compresor machine purchase","purchae of compressor","Goods","","40","","","699800","NPR","9663","","","","DRILP - Jumla.pdf"
"872382368","872382368-36","HDPE Pipe Purchase","purchase of pipes","Goods","","41","","","1011300","NPR","13965","","","","DRILP - Jumla.pdf"
"872382368","872382368-37","DRILP/Kalikot/RB/NCB/01","Road construction","Civil Works","","42","Tundi Construction","Nepal","9361413","NPR","122868","2009-01-04","","2011-05-02","DRILP - Kalikot.pdf"
"872382368","872382368-38","DRILP/Kalikot/RB/NCB/02","Road construction","Civil Works","","43","Lokbir & Betali JV","Nepal","6948488","NPR","91199","2009-01-07","","2012-12-30","DRILP - Kalikot.pdf"
"872382368","872382368-39","DRILP/Kalikot/RB/NCB/03","Road construction","Civil Works","","44","Kanchanjanga JV","Nepal","19400967","NPR","254637","2009-04-07","","2011-05-12","DRILP - Kalikot.pdf"
"872382368","872382368-4","DRILP/JUMLA/TU/NCB/04","Road rehabilitation","Civil Works","","45","Rautaha Siddha Baba JV","Nepal","7410625","NPR","102333","","2008-08-29","2009-11-24","DRILP - Jumla.pdf"
"872382368","872382368-40","DRILP/Kalikot/RB/NCB/04","Road construction","Civil Works","","46","Michi Co JV","Nepal","6286241","NPR","82507","2009-01-06","","2011-01-31","DRILP - Kalikot.pdf"
"872382368","872382368-41","DRILP/Kalikot/RB/NCB/05","Road construction","Civil Works","","47","Rajendra Nirman Sewa","Nepal","8185596","NPR","107435","2009-01-06","","2010-06-30","DRILP - Kalikot.pdf"
"872382368","872382368-42","DRILP/Kalikot/RB/NCB/06","Road construction","Civil Works","","48","Hirachaun Construction P. Ltd","Nepal","4762456","NPR","62507","2009-01-07","","2011-07-28","DRILP - Kalikot.pdf"
"872382368","872382368-43","DRILP/Kalikot/RB/NCB/07","Road construction","Civil Works","","49","Gajurmukhi Nirman Co","Nepal","4325834","NPR","56776","2009-01-06","","2010-06-30","DRILP - Kalikot.pdf"
"872382368","872382368-44","DRILP/Kalikot/RB/NCB/08","Road construction","Civil Works","","50","Mahadev Khitmti Nirman Sewa","Nepal","3645182","NPR","47843","2009-01-06","","2010-06-30","DRILP - Kalikot.pdf"
"872382368","872382368-45","DRILP/Kalikot/RB/NCB/09","Road construction","Civil Works","","51","Kancahnjunga JV","Nepal","7665170","NPR","100605","2009-01-06","","2010-06-30","DRILP - Kalikot.pdf"
"872382368","872382368-46","DRILP/Kalikot/RB/NCB/10","Road construction","Civil Works","","52","Sailung Jv","Nepal","7665850","NPR","100614","2009-01-06","","2010-06-30","DRILP - Kalikot.pdf"
"872382368","872382368-47","DRILP/Kalikot/RB/NCB/11","Road construction","Civil Works","","53","Lokbir & Betali JV","Nepal","11071380","NPR","145311","2009-08-27","","2010-08-27","DRILP - Kalikot.pdf"
"872382368","872382368-48","DRILP/KALIKOT/BL/NCB/01","Road construction","Civil Works","","54","Lama Builders,National JV","Nepal","13660910","NPR","189938","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-49","DRILP/KALIKOT/BL/NCB/02","Road construction","Civil Works","","55","Khan,Mountain JV","Nepal","13390372","NPR","186176","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-5","DRILP/JUMLA/TU/NCB/05","Road rehabilitation","Civil Works","","56","Oasis-Siddha Baba JV","Nepal","9102437","NPR","125695","","2008-08-29","2009-12-24","DRILP - Jumla.pdf"
"872382368","872382368-50","DRILP/KALIKOT/BL/NCB/03","Road construction","Civil Works","","57","Golden Good,Narsingh JV","Nepal","8351773","NPR","116121","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-51","DRILP/KALIKOT/BL/NCB/04","Road construction","Civil Works","","58","Nepal Pragami Nirman Sewa","Nepal","6859278","NPR","95370","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-52","DRILP/KALIKOT/BL/NCB/05","Road construction","Civil Works","","59","Biruwa,Changmita JV","Nepal","6626857","NPR","92138","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-53","DRILP/KALIKOT/BL/NCB/06","Road construction","Civil Works","","60","Rayamajhi,Pushpanjali JV","Nepal","7344954","NPR","102122","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-54","DRILP/KALIKOT/BL/NCB/07","Road construction","Civil Works","","61","Kosh & Neupane,Rafina JV","Nepal","15797044","NPR","219638","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-55","DRILP/KALIKOT/BL/NCB/08","Road construction","Civil Works","","62","Lokbir & Betali,Jagadamba JV","Nepal","15656109","NPR","217679","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-56","DRILP/KALIKOT/BL/NCB/09","Road construction","Civil Works","","63","Lokbir & Betali,Jagadamba JV","Nepal","8503954","NPR","118237","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-57","DRILP/KALIKOT/BL/NCB/10","Road construction","Civil Works","","64","Sunaula Khimti,Thani,Kalapani JV","Nepal","8509316","NPR","118311","2010-05-11","","2011-10-31","DRILP - Kalikot.pdf"
"872382368","872382368-58","DRILP/SKD/LCB/01","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","65","Bishal & JV","Nepal","2811401","NPR","41292","2008-03-28","","2009-05-03","DRILP-Lamjung.pdf"
"872382368","872382368-59","DRILP/SKD/LCB/02","Road Constrcution","Civil Works","DRILP-Lamjung.pdf","66","Pramond Con. Pvt. Ltd.","Nepal","4093520","NPR","60123","2008-09-07","","2008-12-15","DRILP-Lamjung.pdf"
"872382368","872382368-6","DRILP/JUMLA/TU/NCB/06","Road construction","Civil Works","","67","Oasis & JV","Nepal","12251933","NPR","169186","","2009-02-26","2009-11-22","DRILP - Jumla.pdf"
