"Database ID","OAP ID","AMP ID","Development Partner Project ID","Development Partner","Project Title","OAP Sector","AMP Sector","Description","Partner Ministry","Partner Department","StartDate","EndDate","TotalCommitment($US)","TotalDisbursement($US)","Project Info Source"
"872382368","OAP2","872382368","38426","Asian Development Bank","Decentralized Rural Infrastructure and Livelihood Project (DRILP)","Transport","LOCAL DEVELOPMENT","Asian Development Bank supported and Ministry of Local Development implemented 'Decentralised Rural Infrastructure and Livelihood Project' have been designed with some specific objectives. They are to increase institutional capacity, provide employment and empower rural communitties’ development, extend and improve the network of rural transport infrastructure, develop small, community level socio-economic infrastructure and empower accountability and tranparancy . The project has been implemented since October 2005 in the sector of local development. The major activities of project are community development and rural liveihood, capacity building and decentralised governance and rural tranport system.","Ministry of Federal Affairs and Local Development","Department of Local Infrastructure Development and Agricultural Roads","2005-10-31","","45429471","39720845","AMP"
"8723814206","OAP4","8723814206","","Swiss Agency for Development and Cooperation","Local Road Bridge Program (LRBP)","Transport","LOCAL DEVELOPMENT","The activities are targeted to generate 250,000 person days of employment during construction of motorable bridges out of which 50% will be received .  Build 80 numbers of motorable(local road) bridges at local levels.  research on 20 (out of 80) of various types including truss,arch,suspension,modular steel and pre -stressed reinforced concrete bridges.  Prepare and propagate Motorable Bridge Techinical Norma and Standards.  Private sector has the capacity for the construction of local road bridges.","Ministry of Federal Affairs and Local Development","","","","9919372","","AMP"
"8723851781","OAP5","8723851781","","Swiss Agency for Development and Cooperation","District Road Support Program (DRSP)","Transport","- LOCAL DEVELOPMENT - ROAD TRANSPORTATION","DDCs construct, rehabilitate, regularly maintain the district roads to an all weather standard.    Disadvantaged groups will be benifited by road works.    DOLIDAR will have capacity to monitor, coordinate, formulate policy.","Ministry of Federal Affairs and Local Development","","2010-07-17","","27618487","17387742","AMP"
"8723897750","OAP6","8723897750","","Government of Finland","Rural Village Water Resource Management Project Phase- II","WatSan","LOCAL DEVELOPMENT","Rural Village Water Resources Management Project (RVWRMP) - supported by Government of Finland has started in October 2006. RVWRMP works in 9 hilly and mountainous districts and 1 terai district of Far and Mid Western Development Region of Nepal. The key beneficiaries and stakeholders of the project are:    Community and Village Development comittees    District development comittees    Ministry of local development, DOLIDAThe geograhical areas of projects are:  Achham, Baitadi, Bajhang, Bajura, Dadeldhura, Darchula, Doti and Kailali districts in Far Western Regiona and Dailekh and Humla districts in the Mid western Region of Nepal.The Project is implemented by MOLD/DLIDAR together with participating DDCs.","Ministry of Federal Affairs and Local Development","","2010-09-01","","16972592","7289121","AMP"
"OAP1","OAP1","872381444","P083923","World Bank","Rural Access Improvement and Decentralization Project(RAIDP)","Transport","","•ALL Season Roads•TrailBridges•Community Infrastructure•Rural Roads Maintenance•Water Supply","Ministry of Federal Affairs and Local Development","Department of Local Infrastructure Development and Agricultural Roads","2010-07-14","","73781566","37871650","AMP"
"OAP12","OAP12","872381265","P119735","World Bank","NP:  Road Sector Development Project-AF","Transport","","The objective of the Additional Financing for the Road Sector Development Project for Nepal is for the residents of beneficiary districts to have all season road access thereby reducing travel time and improving access to economic centers and social services. The additional financing will also support a scale up of project activities aimed at completing the remaining sections of roads built in the ongoing project in the remote districts of the Western region, which are not connected with all weather roads. The project will contribute to an estimated six percent increase in the number of people with all season road access in the project districts and 35 percent decrease in travel time to economic centers and 25 percent decrease in travel time to social service. About 1.4 million people in the project districts will benefit from the project. The following modifications in the project implementation arrangement will be made: (a) improvement in monitoring and reporting safeguard arrangements; (b) improvement in monitoring financial management activities; and (c) implementation of the updated the governance and accountability action plan with a special focus on mitigating collusion and intimidation during bidding. It is also proposed to extend the implementation period by three additional years until June 30, 2015.","Ministry of Physical Planning, Works and Transport Management","Department of Roads","2010-11-23","","125500000","","http://www.worldbank.org/projects/P119735/np-road-sector-development-project-af?lang=en"
"OAP14","OAP14","872381444","P107853","World Bank","Rural Access Improvement and Decentralization Project - Addl Financing","Transport","","The objective of the Additional Financing for the Road Sector Development Project for Nepal is for the residents of beneficiary districts to have all season road access thereby reducing travel time and improving access to economic centers and social services. The additional financing will also support a scale up of project activities aimed at completing the remaining sections of roads built in the ongoing project in the remote districts of the Western region, which are not connected with all weather roads. The project will contribute to an estimated six percent increase in the number of people with all season road access in the project districts and 35 percent decrease in travel time to economic centers and 25 percent decrease in travel time to social service. About 1.4 million people in the project districts will benefit from the project. The following modifications in the project implementation arrangement will be made: (a) improvement in monitoring and reporting safeguard arrangements; (b) improvement in monitoring financial management activities; and (c) implementation of the updated the governance and accountability action plan with a special focus on mitigating collusion and intimidation during bidding. It is also proposed to extend the implementation period by three additional years until June 30, 2015.","Ministry of Physical Planning, Works and Transport Management","Department of Roads","2009-12-17","","54000000","","http://www.worldbank.org/projects/P107853/rural-access-improvement-decentralization-project-addl-financing?lang=en"
"OAP20","OAP20","8723831141","P105860","World Bank","Poverty Alleviation Fund II","WatSan","ECONOMIC REFORM","The project development objective is to improve living conditions, livelihoods and empowerment among the rural poor, withparticular attention to groups that have traditionally been excluded by reasons of gender, ethnicity, caste and location.","","","2004-12-13","","247522195","117899072","AMP"
"OAP25","OAP25","8.72381E+11","45206-001","Asian Development Bank","Water Resources Project Preparatory Facility","WatSan","","•Detailed feasibility studies for high priority water resources projects.•environment, social and techninal capac ity enhancement of DoI and DWIDP.•IMP updated and•efficient facility management.","Ministry of Irrigation","Department of Irrigation","2013-01-31","","11000000","","AMP"
"OAP32","OAP32","","35174-032","Asian Development Bank","Education Sector Program Cluster (Subprogram II)","Education","","education attainment, particularly for girls and disadvantaged groups. The ESP II will support the preparation and transittion to School Sector Reform (SSR), particularly the early implementation of the 1-8 basic education restructuring in a few districts.","Ministry of Education & Sports","","2008-01-24","2012-01-19","8000000","","http://www.adb.org/projects/35174-032/main"
